"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a12","a1","a1a","a7","a7a","a7b","a7c","a11","a9","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","d30a","d30b","TRd1a","TRd1b","TRd1c","TRd1dx1","TRd2dx2","TRd2","TRd3","TRd4","TRd5a","TRd5b","TRd6","TRd7","TRd9a","TRd9b","TRd9c","TRd9d","TRd9e","TRd9f","TRd9g","TRd9h","TRd9i","TRd9j","TRd9l","TRd9m","TRd11","TRd13a","TRd13b","TRd13c","TRd13cx","TRd14","TRd15","TRd16","e1","e2b","e6","e11","e30","AFe31","AFe32","AFe33a","AFe33b","AFe33c","AFe33d","AFe33e","AFe33f","AFe33g","AFe33gx","AFe34","h1","h2","h3x","h4x","h5","h6x","h7x","h8","h9","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","AFk3a","k4","n5a","n5b","k5a","k5a1","k5i","k5i1","k5bc","k5bc1","k5e","k5e1","k5f","k5f1","AFk5hdj_a1","AFk5hdj_a1_1","AFk5hdj_a2","AFk5hdj_a2_1","AFk5e2","k4b","n5c","n5d","k6","k7","k8","k9","mc1","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","k20a1","k21","k30","MMs1","MMs1a","MMs2","MMs3","MMs4","MMs5","MMs6","MMs7","MMs8","MMs9","MMs10","MMs11a","MMs11b","MMs11c","MMs11d","MMs11e","MMs11f","mc2","mc3","mc4","mc4x","mc5","mc6","mc6x","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","AFl11a","AFl11b","AFl11c","AFl11d","AFl11e","AFl11f","AFl11g","AFl12","AFl13a","AFl13b","AFl13c","AFl13d","AFl13e","AFl13x","AFl14a1x","AFl14d1","AFl14a2x","AFl14d2","AFl14a3x","AFl14d3","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
613938,60,2,3,1,1,2,2,2008,51,3,1,3,16,4,2017,20,47,2008,32,1,2,NA,NA,NA,NA,NA,3,"",100,0,0,0,100,2,NA,2007,50,1,2007,4,2,2,"",2,NA,NA,1,-9,NA,NA,NA,1,1,40,2,NA,NA,NA,NA,NA,1,1,2,1,3,"Distribution Of Hydrocarbons",5141,100,4e+10,"Forty Billion",2e+10,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,4,1,1,2,1,2,2,2,2,2,"",0,1,1,"We Started Selling Fuel Cards","Completely New",2,"","",2,NA,NA,NA,100,0,0,100,0,0,1,7,2,NA,NA,"",0,1,-9,NA,2,NA,NA,1,100,40,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,0,1,30,6,2,NA,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,3,"",3,-9,1,2,2,2,NA,0,NA,2,NA,NA,2,NA,NA,0,0,0,2,4,0,300,200,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,-9,1,NA,NA,NA,NA,2,2,1,1,2,1,1,1,1,2,1,2,2,"","-9",NA,"-9",NA,"-9",NA,0,0,4,439396280,NA,58550080,NA,NA,NA,NA,"Director General",5,1,"Chief Financial Officer",4,1,"",NA,NA,16,4,2017,22,9,1,1,2,1,20,1,4,2,1,1,1.4306435585022,2.92601871490479,18
613939,66,2,2,1,1,1,2,2000,36,1,1,2,3,5,2017,19,34,2012,32,1,1,2,1,1,2,NA,3,"",100,100,0,0,0,2,NA,1978,-9,1,1978,40,2,2,"",2,NA,NA,1,20,8,0,30,NA,1,100,1,14,2,2,NA,NA,1,1,2,4,1,"Semi-Metallic School Furniture",3610,40,291887330,"Two Hundred Ninety One Million Eight Hundred Eighty Seven Thousand Three Hundred Thirty",264338696,100,0,0,NA,NA,NA,NA,NA,0,2,0,100,1,30,2,4,2,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,7,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",1,"The Innovative Process Is The Use Of An Electric Drill/Screwdriver","Previously The Furniture Was Screwed Together By Hand, Now We Use An Electric Drill/Screwdriver",2,NA,35,40,80,20,0,80,20,0,2,NA,NA,NA,NA,"",3,1,5,NA,2,NA,NA,1,20,15,50,15,0,30,5,NA,1,25000000,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,2,NA,NA,1,1,1,1,NA,2016,5e+07,1,1,2,2,2,2,200000000,2,8e+07,2,1,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,2,NA,NA,"",NA,3,"",1,5,1,2,2,2,NA,3,NA,2,NA,NA,2,NA,NA,2,2,3,4,4,3,40,34,22,18,18,4,0,0,0,NA,22,0,2,2,2,NA,NA,NA,NA,1,1,1,1,1,2,2,1,1,1,1,1,2,"","University Of Cady Ayyad In Morocco",4,"-9",NA,"-9",NA,2,4,12,14426900,15563675,76099140,NA,266162790,68376680,300000000,"Director General",15,1,"",NA,NA,"",NA,NA,3,5,2017,21,6,1,1,3,1,45,1,4,2,1,1,1.06201684474945,1.77884864807129,18
613940,67,4,1,1,1,2,2,2000,51,3,1,1,20,6,2017,10,44,2002,32,1,1,2,1,1,1,NA,3,"",100,100,0,0,0,2,NA,1995,19,1,1995,14,2,2,"",2,NA,NA,1,-9,NA,NA,NA,0,1,-9,2,NA,NA,NA,NA,NA,1,2,3,2,3,"Commercialisation Of Industrial And Medical Gases",5149,100,-9,"",206367549,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,1,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,"The Company Has Introduced Biomedical Products In The Range Of Products It Sells. It Has Also Improved Its Security Service","Completely New",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,80,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,NA,2013,1e+08,1,1,2,2,2,2,100000000,1,1e+08,1,2,1,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,NA,NA,"",NA,1,"",1,-9,1,2,1,1,0,NA,0,1,48,2,2,NA,NA,0,2,0,3,2,0,11,11,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2,1,NA,NA,NA,NA,1,1,1,1,0,1,1,2,NA,NA,NA,NA,NA,"","-9",NA,"-9",NA,"-9",NA,0,3,12,47470943,NA,5066000,NA,NA,NA,NA,"Deputy Managing Director",4,1,"",NA,NA,"",NA,NA,20,6,2017,13,54,1,1,1,NA,NA,1,1,4,1,1,1,1.53550183773041,8
613941,68,1,1,1,1,1,2,2000,51,3,1,1,12,4,2017,16,54,2015,32,1,2,NA,NA,NA,NA,NA,1,"",60,-9,-9,-9,-9,2,NA,2002,11,1,2002,5,2,2,"",2,NA,NA,1,20,12,0,-9,NA,1,-9,2,NA,NA,NA,NA,NA,1,1,3,3,3,"Wholesale Of Pharmaceuticals",5139,100,4.5e+08,"Four Hundred Fifty Million",-9,-9,-9,-9,NA,NA,NA,NA,-9,-7,NA,-9,-9,2,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,3,-9,-9,2,2,2,2,2,2,2,"",0,2,NA,"","",2,"","",2,NA,NA,NA,-9,-9,-9,-9,-9,-9,2,NA,NA,NA,NA,"",-7,1,-9,NA,2,NA,NA,-7,-9,-9,-9,-9,-9,-9,-9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,NA,2004,3e+07,1,2,2,-9,1,-9,30000000,-9,NA,2,1,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,-9,-9,-9,-9,2,NA,NA,"",NA,-9,"",-7,0,2,NA,NA,2,NA,-9,NA,2,NA,NA,2,NA,NA,1,1,2,3,3,1,8,8,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,7,2,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,1,1,12,180000000,NA,2000000,NA,NA,NA,NA,"Ceo",15,1,"",NA,NA,"",NA,NA,12,4,2017,17,54,2,2,1,NA,NA,1,1,1,1,1,1,1.91663706302643,2
613942,70,4,1,1,1,2,2,2000,55,3,1,1,29,5,2017,11,49,2009,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,1990,12,1,1990,27,2,2,"",2,NA,NA,1,90,0,35,7,NA,1,10,2,NA,NA,NA,NA,NA,2,2,3,2,5,"Hotel Services",5510,100,54100000,"Fifty Four Million One Hundred Thousand",49850000,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,0,2,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,0,25,0,75,0,0,25,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3300000,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,2,2,1,2,2,2,NA,2,NA,1,100,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,5,"",3,30,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,1,2,3,3,0,17,13,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,50,2,NA,NA,NA,NA,1,1,1,1,0,0,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,2,2,4,25645000,NA,2525000,NA,NA,NA,NA,"Financial Assistant",5,1,"",NA,NA,"",NA,NA,29,5,2017,12,50,1,2,1,NA,NA,1,1,4,1,5.8010425567627,7.61468315124512,13.661096572876,8
613943,75,4,1,1,1,1,2,2000,45,3,1,3,20,6,2017,12,15,2009,32,1,1,6,1,1,2,NA,3,"",100,100,0,0,0,2,NA,1984,8,2,2006,30,2,2,"",1,60,2,1,-9,NA,NA,17,NA,1,100,1,65,2,NA,NA,NA,1,1,4,2,4,"Structures For The Dam At Xxx",4520,70,-9,"",-9,90,10,0,NA,NA,NA,NA,1984,-9,0,30,70,1,-9,NA,4,1,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,"Ivory Coast",15,1,1,NA,NA,NA,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,1,2,"Sale Of Cement","Completely New",2,"","",2,NA,NA,NA,30,70,0,30,70,0,1,90,2,NA,NA,"",2,1,16,NA,1,NA,145000000,4,76,76,30,50,0,20,0,NA,1,101000000,0,30,NA,0,NA,70,NA,0,NA,0,NA,0,NA,0,NA,NA,1,70000000,0,1,1,1,1,NA,2016,4e+08,1,1,2,2,2,2,470000000,2,4e+08,1,1,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,2,NA,NA,"",NA,3,"",3,2,1,4,2,1,-9,-9,NA,2,NA,NA,2,NA,NA,0,1,1,4,1,2,30,25,NA,NA,NA,NA,NA,NA,NA,5,500,70,8,70,1,NA,NA,NA,NA,2,2,1,1,0,2,2,1,2,2,1,1,2,"","University Abdou Moumouni In Niamey",3,"-9",NA,"-9",NA,3,1,10,-9,NA,1800000,NA,NA,NA,NA,"Director General",33,1,"",NA,NA,"",NA,NA,20,6,2017,12,51,1,4,1,NA,NA,1,1,4,1,5.8010425567627,7.61468315124512,13.661096572876,8
613944,78,2,1,1,1,2,2,2000,22,1,1,2,14,4,2017,21,9,2016,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,2003,15,1,2003,30,2,2,"",2,NA,NA,1,25,2,0,-9,NA,1,60,2,NA,NA,2,NA,NA,1,2,4,4,1,"Edition And Printing Of Documents And Graphic Art",2221,100,251908415,"Two Hundred Fifty One Million Nine Hundred Eight Thousand Four Hundred Fifteen",-9,100,0,0,NA,NA,NA,NA,NA,-9,-9,100,0,NA,NA,NA,1,1,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2,-4,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,-9,-9,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,0,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,NA,NA,"",NA,3,"",3,-9,2,NA,NA,1,0,0,NA,2,NA,NA,2,NA,NA,0,0,0,3,0,0,22,12,12,10,8,2,2,0,0,NA,0,NA,NA,-9,2,NA,NA,NA,NA,2,1,1,1,0,1,1,2,NA,NA,NA,NA,NA,"","-9",NA,"-9",NA,"-9",NA,0,3,11,-9,-9,-9,NA,-9,-9,-9,"General Manager",14,1,"",NA,NA,"",NA,NA,14,4,2017,23,23,2,1,3,2,7,1,1,2,1,1,1,1.49774992465973,4
613945,79,3,2,2,2,1,2,2000,60,3,2,2,25,4,2017,17,44,2021,32,1,1,2,1,1,2,NA,3,"",100,100,0,0,0,2,NA,2002,7,1,2002,20,2,2,"",2,NA,NA,1,8,12,0,3,NA,1,3,2,NA,NA,NA,NA,NA,1,1,2,3,6,"Passenger Transport",6023,100,-9,"",-9,80,10,10,NA,NA,NA,NA,2002,0,0,100,0,NA,NA,NA,0,0,100,0,0,"Togo","Benin",2002,-9,5,2,3,2,NA,0,1,0,0,0,0,0,0,0,1,0,0,4,NA,NA,NA,"",12,1,1,NA,NA,NA,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,3,NA,1,3,NA,1,5,0,100,0,0,0,0,NA,1,350000000,0,NA,350000000,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,1,1,30,1,2,NA,2,NA,2,NA,1,10,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,4,"",2,0,1,3,2,2,NA,50,NA,2,NA,NA,2,NA,NA,2,3,0,1,1,0,25,20,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,2,NA,NA,NA,NA,1,1,1,1,0,1,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,0,1,12,30000000,NA,2000000,NA,NA,NA,NA,"Manager",10,1,"Account Manager",1,1,"Chief Financial Officer",1,1,25,4,2017,19,21,1,2,2,1,30,2,2,3,1,1.56311190128326,1.6597113609314,1.51763164997101,25
613946,80,1,1,2,2,1,2,2000,51,3,2,1,2,5,2017,12,9,2021,32,1,1,2,1,1,1,NA,3,"",100,100,0,0,0,2,NA,1987,3,1,1987,30,2,2,"",2,NA,NA,1,5,2,30,10,NA,1,45,2,NA,NA,NA,NA,NA,1,2,1,1,3,"Wholesale Of Rice, Cooking Oil, Pasta",5122,80,9e+09,"Nine Billion",7.9e+09,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,2,3,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,2,"",1,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,1,NA,1,1,NA,1,25,60,50,50,0,0,0,NA,1,200000000,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,150000000,0,1,1,1,1,NA,2016,5e+08,1,1,2,2,2,2,800000000,-9,NA,1,2,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,NA,NA,"",NA,1,"",1,5,1,2,2,2,NA,50,NA,2,NA,NA,2,NA,NA,1,1,0,0,1,1,8,5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,2,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,1,1,1,200000000,NA,800000,NA,NA,NA,NA,"Manager",30,1,"",NA,NA,"",NA,NA,2,5,2017,13,18,1,1,3,1,25,2,1,1,1,1.6062890291214,1.74511313438416,2.14285707473755,19
613947,83,2,2,2,2,1,2,2000,51,3,2,1,14,6,2017,19,48,2021,32,1,1,3,1,1,1,NA,3,"",100,100,0,0,0,2,NA,1992,8,1,1992,10,2,2,"",2,NA,NA,1,5,2,0,10,NA,1,10,2,NA,NA,NA,NA,NA,2,2,1,1,3,"The Company Sells Xxx Parts/Products",5131,80,8.5e+08,"Eight Hundred Fifty Million",9e+08,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,1,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,5,NA,2,NA,NA,0,6,10,80,20,0,0,0,NA,1,600000,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,400000,0,1,2,1,1,NA,2015,2.5e+08,1,1,2,2,2,2,500000000,1,2.5e+08,2,2,1,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2,2,NA,NA,"",NA,3,"",2,5,1,3,2,2,NA,85,NA,2,NA,NA,2,NA,NA,1,1,0,1,0,1,15,11,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,2,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,1,0,1,150000000,NA,700000,NA,NA,NA,NA,"Manager",10,1,"",NA,NA,"",NA,NA,14,6,2017,20,32,2,2,1,NA,NA,2,2,2,1,1.60032498836517,1.61790442466736,1.66666662693024,23
613948,86,4,1,1,1,2,2,2000,52,2,1,1,11,4,2017,10,49,2009,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,2008,1,1,2008,10,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,3,3,2,"Sale Of Books",5239,100,-9,"",2.4e+07,100,0,0,NA,NA,NA,NA,NA,0,0,2,98,1,1,NA,4,4,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,NA,NA,0,100,0,0,100,0,2,NA,NA,-9,NA,"",0,2,NA,NA,2,NA,NA,0,0,10,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,1,2,1,11,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,6,"Because We Do Not Want To Take Out Loans With Interest",1,10,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,1,0,4,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,2,NA,NA,NA,NA,1,1,1,1,0,1,0,2,NA,NA,NA,NA,NA,"","University Abdou Moumouni In Niamey",3,"University Abdou Moumouni In Niamey",3,"University Abdou Moumouni In Niamey",3,0,0,8,10000000,NA,240000,-9,NA,NA,NA,"General Manager",9,1,"",NA,NA,"",NA,NA,11,4,2017,11,50,1,1,1,NA,NA,1,1,4,1,5.8010425567627,7.61468315124512,13.661096572876,8
613949,90,4,2,1,1,2,2,2000,51,3,1,2,25,4,2017,14,32,2005,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,1995,10,1,1995,20,2,2,"",2,NA,NA,1,50,1,30,30,NA,1,100,2,NA,NA,NA,NA,NA,1,1,2,2,3,"Wholesale Of Computer Equipment",5151,60,84000681,"Eighty Four Million Six Hundred Eighty One",50000127,100,0,0,NA,NA,NA,NA,NA,20,30,60,40,1,5,NA,0,2,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,1,1,"Our Main New Product Is The Director'S Desk. There Is A Lot Of Demand Due To The Practicality, Quality And The Increasingly Modern Design Of The Product","Previously, We Mainly Sold Desktops For Pcs (Computer Materials). Currently We Mainly Sell Director'S Desks (Office Furniture)",1,"The Innovative Process Is A Customer Loyalty Programme Which Consists Of Reaching Out To Customers, Advertising And Proposing Special Offers On The Quality Of The Products Sold Until They Become Loyal","Previously, The Company Received Customers And Provided After-Sales Services But Did Not Go To Visit Customers. With The Innovation, The Company Goes To Visit Its Customers In Order To Differentiate I",1,5000000,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,1,25,40,60,0,0,40,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,2,2,NA,NA,"",NA,3,"",1,30,1,1,2,1,20,25,NA,2,NA,NA,2,NA,NA,4,2,2,3,4,4,32,25,NA,NA,NA,NA,NA,NA,NA,3,15,5,3,3,2,NA,NA,NA,NA,2,2,2,2,1,2,1,1,2,1,1,2,2,"","University Abdou Moumouni In Niamey",3,"-9",NA,"-9",NA,2,2,11,12000000,NA,5000000,NA,NA,NA,NA,"Personal Assistant",12,2,"",NA,NA,"",NA,NA,25,4,2017,15,56,2,4,1,NA,NA,1,2,4,1,1.09573256969452,1.61988627910614,2.4592022895813,11
613950,91,4,1,1,1,2,2,2000,60,3,1,1,17,5,2017,12,34,2009,32,1,1,3,1,1,1,NA,3,"",100,100,0,0,0,2,NA,2000,19,1,2000,25,2,2,"",2,NA,NA,1,90,0,25,3,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,2,2,6,"Passenger Transport",6022,100,69600000,"Sixty Nine Million Six Hundred Thousand",71150000,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,-7,2,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,"",0,1,2,"When We Started Our Activity, The Buses We Used Did Not Have Air Conditioning. But For The Past Two Years Now Our Buses Are Air Conditioned","Travelling In Better Conditions With Air Conditioning",1,"The Introduction Of Air-Conditioned Buses","Air Conditioned Buses",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",2,2,NA,NA,2,NA,NA,1,0,0,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,27200000,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,"",NA,5,"",-7,45,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,2,2,4,3,-7,17,17,NA,NA,NA,NA,NA,NA,NA,2,5,0,3,0,2,NA,NA,NA,NA,1,1,1,1,0,0,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,2,1,12,39250000,NA,421200,NA,NA,NA,NA,"Accountant",5,1,"",NA,NA,"",NA,NA,17,5,2017,13,38,1,2,1,NA,NA,1,1,4,1,5.8010425567627,7.61468315124512,13.661096572876,8
